Dr. Abara is one of the best teachers on campus. He is very knowledgeable and he genuinely cares about his students. I highly recommend his class. Not taking his class would be a big mistake!!! Thank you  Dr.Abara for two semesters of excitement and fun!!! You are truly the best. Capish ?,good,cleaned,Predicted_Feedback,Predicted_Label
"Great guy, good at taking care of those kids who try to show off. His grading system is ridiculous and the material is hard. If you want to do well, read the textbook and go to lecture. If you can't bring yourself to do either, drop the course. Not worth the stress.",average,great guy good take care kid tri show grade system ridicul materi hard want well read textbook go lectur bring either drop cours worth stress,1,Positive
"He's a funny guy and a good professor, but his grading system is killer. You can only get 6 questions wrong throughout the semester to get an A (which I was one away from getting...)",good,funni guy good professor grade system killer get question wrong throughout semest get one away get,1,Positive
"One of the easiest Econ classes at NYU. He is entertaining during lecture and I learned a lot. If you dislike this class or find it hard then its a good indication you shouldn't be an econ major. There were three exams and each one got more challenging, but overall the class was pretty easy.",awesome,one easiest econ class nyu entertain lectur learn lot dislik class find hard good indic econ major three exam one got challeng overal class pretti easi,1,Positive
"The materials are not that hard, but it is the way he chooses to grade that drops most people's grade. If you made one mistake on one of the exams, you lose one point on your final grade. I studied a lot and ended up with an A-, but I am pretty sure those who get As do not necessarily know much better than I do. I did enjoy his lectures though.",average,materi hard way choos grade drop peopl grade made one mistak one exam lose one point final grade studi lot end pretti sure get necessarili know much better enjoy lectur though,1,Positive
I was hestitant to take this class but his lectures were really clear and helpful. Its important to read the book but in class he emphasizes important parts you may have skimmed over when reading. Grading scale is awesome- 75 is a B. Pretty good prof overall,average,hestit take class lectur realli clear help import read book class emphas import part may skim read grade scale awesom b pretti good prof overal,1,Positive
He is a terrible professor,awful,terribl professor,0,Negative
Confusing and adds stupid questions into the exam such as history dates. But not too hard.,poor,confus add stupid question exam histori date hard,1,Positive
"Overall a really great professor. Thick accent, but once you get used to it he's pretty easy to understand. However, he basically just summarizes the textbook and gives examples I tend to just zone out. Take him if you're passionate about econ--I didn't care enough to handle this professor.",poor,overal realli great professor thick accent get use pretti easi understand howev basic summar textbook give exampl tend zone take passion econ care enough handl professor,1,Positive
"This class was cake. A lot of people complain about it, but I went to 3 lectures the whole semester and got a 97%. The best part of the class is that there is ZERO homework. Just three tests with a total of 100 questions, each question 1% of your grade. This class took up maybe 25 hours of my semester in total. Definitely take it.",average,class cake lot peopl complain went lectur whole semest got best part class zero homework three test total question question grade class took mayb hour semest total definit take,1,Positive
Useless lectures. Just read the book. Tests are tricky so study hard.,awful,useless lectur read book test tricki studi hard,1,Positive
"Loved him, loved the class. Takes a while to get used to the accent, but he's a fantastic professor, engaging lectures. I didn't miss a single class even though it was at 8am, that's how amazing he was as a lecturer. Tricky questions on tests, but just be careful when studying. Probably the best prof I've had at NYU. Considering an Econ major now.",awesome,love love class take get use accent fantast professor engag lectur miss singl class even though amaz lectur tricki question test care studi probabl best prof nyu consid econ major,1,Positive
His lectures are useless because of his thick accent. Just read the textbook.,awful,lectur useless thick accent read textbook,1,Positive
"great lectures, he is a really funny guy and explains everything really well. The tests are hard, even if you study the questions are worded in a confusing manner, but overall I recommend him!",good,great lectur realli funni guy explain everyth realli well test hard even studi question word confus manner overal recommend,1,Positive
